segment_type,segment_id,year,buffer_size,sensor_type,ndvi_mean,ndvi_std,ndwi_mean,ndwi_std,ndbi_mean,ndbi_std,ndvi_category,ndwi_category,ndbi_category
100m,1,2010,300,L7,0.13801521291447683,0.0753778733986253,-0.16440087340736617,0.06848207969756578,-0.036519919864537315,0.0493538655110953,low - lower,very low - upper,low - lower
100m,1,2011,100,L7,0.1340242548942014,0.08169819316496583,-0.1571690530074118,0.07424020040342882,-0.04081650610372638,0.04603433168115962,low - lower,very low - upper,low - lower
100m,1,2011,200,L7,0.13576470701514937,0.07529300809214072,-0.1628520652538071,0.06820331727278554,-0.04097689907951126,0.04837512122317971,low - lower,very low - upper,low - lower
100m,1,2011,300,L7,0.13387211921929856,0.07655825165169303,-0.16064672718513978,0.06891975951754656,-0.03841363290043582,0.052247836934842425,low - lower,very low - upper,low - lower
100m,1,2012,100,L7,0.13395843601583865,0.07721129647147514,-0.15531671285365428,0.0694010829158031,-0.0453466642666647,0.039741456780270364,low - lower,very low - upper,low - lower
100m,1,2012,200,L7,0.12985271943715024,0.07189200155953432,-0.15687105462911585,0.06601242664002023,-0.042321917607956054,0.04648571227653967,low - lower,very low - upper,low - lower
100m,1,2012,300,L7,0.119500668323781,0.08112505634411867,-0.14372758294899665,0.0792527101350335,-0.03964408108102833,0.04953832019496385,low - lower,very low - upper,low - lower
100m,1,2013,100,L7,0.12288924852234498,0.055747500108752096,-0.14475402055987444,0.05025601545638979,-0.04656514687381243,0.028563675135800697,low - lower,very low - upper,low - lower
100m,1,2013,200,L7,0.11702363374405213,0.056250272295332845,-0.1415506815987263,0.054107204942035254,-0.04338172372215024,0.031160405074768752,low - lower,very low - upper,low - lower
100m,1,2013,300,L7,0.11056821751289207,0.06094005200031775,-0.1330385750063821,0.06235432672635904,-0.04010658135623818,0.03381029503445947,low - lower,very low - upper,low - lower
100m,2,2007,100,L7,0.12445120489311623,0.050117235771057034,-0.14210249885693804,0.04385469176016697,-0.02768237777702249,0.036325830191345505,low - lower,very low - upper,low - lower
100m,2,2007,200,L7,0.14363718884994978,0.05973218972314183,-0.15892466268238067,0.053227134339135555,-0.04149743631254632,0.04030041492953984,low - lower,very low - upper,low - lower
100m,2,2007,300,L7,0.14023200811387396,0.05971794239998836,-0.15787280825789013,0.0537125062640873,-0.03849813025613157,0.04555929897912695,low - lower,very low - upper,low - lower
100m,2,2008,100,L7,0.07773491565006524,0.04801622602623307,-0.09886986773548911,0.04387421040285248,0.000852577037023205,0.030730798771408135,very low - upper,low - lower,low - upper
100m,2,2008,200,L7,0.09441245851038281,0.05615351439179379,-0.11541969156180698,0.054344264464139806,-0.009906769554148182,0.03306784752318632,very low - upper,very low - upper,low - lower
100m,2,2008,300,L7,0.09295334633293725,0.05819176872124448,-0.1158360338976657,0.05612839790662742,-0.009353516735829561,0.0412391704086714,very low - upper,very low - upper,low - lower
100m,2,2009,100,L7,0.10981700455669668,0.061197331156464786,-0.1367180761359285,0.05318203370354481,-0.01635899532467496,0.04070813032226608,low - lower,very low - upper,low - lower
100m,2,2009,200,L7,0.13618031218075163,0.06851414663072503,-0.16122493530514223,0.06208930098672152,-0.03510532476513634,0.04406494997353674,low - lower,very low - upper,low - lower
100m,2,2009,300,L7,0.133335707089989,0.06817440751502152,-0.16056800678526068,0.06215667568320168,-0.032204780408676754,0.048641848574347495,low - lower,very low - upper,low - lower
100m,2,2010,100,L7,0.11835517568480292,0.057677958430912016,-0.14371418355037097,0.050842671243949346,-0.02413131893685529,0.03851550235274548,low - lower,very low - upper,low - lower
100m,2,2010,200,L7,0.14180279637556137,0.06759769946669869,-0.16525820264084884,0.06117197344937674,-0.039574447030674205,0.04299347074857423,low - lower,very low - upper,low - lower
100m,2,2010,300,L7,0.1377335415590892,0.0680020401331376,-0.1633853188470451,0.06218251889349879,-0.036847765715517684,0.04548018431777545,low - lower,very low - upper,low - lower
100m,2,2011,100,L7,0.11413073820955802,0.061634405960338076,-0.14094382123116622,0.055096009489150416,-0.027277904948235124,0.03981329110934127,low - lower,very low - upper,low - lower
100m,2,2011,200,L7,0.14030756352599932,0.07122539084932003,-0.16292544498497522,0.06405181530232505,-0.044713171041832284,0.04536940265455308,low - lower,very low - upper,low - lower
100m,2,2011,300,L7,0.13348480431109933,0.07043019175401052,-0.15951584305228655,0.06350090508984839,-0.039280550219207185,0.049457086344515185,low - lower,very low - upper,low - lower
100m,2,2012,100,L7,0.11563669351808349,0.05936152272088911,-0.1407568361506697,0.05258880874913731,-0.031170149387057745,0.041183617606456946,low - lower,very low - upper,low - lower
100m,2,2012,200,L7,0.13944711781991442,0.0660984735999042,-0.1615630065236162,0.059253470277294135,-0.04957484773486722,0.04341593410472516,low - lower,very low - upper,low - lower
100m,2,2012,300,L7,0.1313727628284347,0.0673385056885427,-0.15678657577505228,0.06234580139951505,-0.04531150278996638,0.04573079690879448,low - lower,very low - upper,low - lower
