segment_id_x,100m_segment_id,Year,roadkill_count,min_dist_1,min_dist_2,min_dist_3,geometry,buffer_size,segment_type,segment_id_y,year,sensor_type,ndvi_mean,ndvi_std,ndwi_mean,ndwi_std,ndbi_mean,ndbi_std,ndvi_category,ndwi_category,ndbi_category,200m_segment_id
1-4,1.0,2007,0.0,142.8306040525824,,,"LINESTRING (240608.08343186945 4277443.022508146, 240572.7620475572 4277536.574248869)",100,100m,1,2007,L7,0.1373565505161685,0.0651259762029772,-0.1515089056844917,0.0584902608905548,-0.0346937889898837,0.0351114698854805,low - lower,very low - upper,low - lower,
1-4,1.0,2008,0.0,142.8306040525824,,,"LINESTRING (240608.08343186945 4277443.022508146, 240572.7620475572 4277536.574248869)",100,100m,1,2008,L7,0.0898381328767795,0.0609534602147798,-0.1100885658275042,0.0584286265225228,-0.0051158529102716,0.0286589993547715,very low - upper,very low - upper,low - lower,
1-4,1.0,2009,0.0,142.8306040525824,,,"LINESTRING (240608.08343186945 4277443.022508146, 240572.7620475572 4277536.574248869)",100,100m,1,2009,L7,0.1263849361890466,0.0781318473597718,-0.1513688626416205,0.0702651533089615,-0.0281565824556412,0.0420419877404977,low - lower,very low - upper,low - lower,
1-4,1.0,2010,0.0,97.73357815573378,142.8306040525824,,"LINESTRING (240608.08343186945 4277443.022508146, 240572.7620475572 4277536.574248869)",100,100m,1,2010,L7,0.1314542148850224,0.0765734967160714,-0.1550239376287264,0.0689752727637604,-0.0326847590297371,0.0416106948719956,low - lower,very low - upper,low - lower,
1-4,1.0,2011,0.0,23.246441309099662,97.73357815573378,142.8306040525824,"LINESTRING (240608.08343186945 4277443.022508146, 240572.7620475572 4277536.574248869)",100,100m,1,2011,L7,0.1340242548942014,0.0816981931649658,-0.1571690530074118,0.0742402004034288,-0.0408165061037263,0.0460343316811596,low - lower,very low - upper,low - lower,
1-4,1.0,2012,0.0,23.246441309099662,97.73357815573378,142.8306040525824,"LINESTRING (240608.08343186945 4277443.022508146, 240572.7620475572 4277536.574248869)",100,100m,1,2012,L7,0.1339584360158386,0.0772112964714751,-0.1553167128536542,0.0694010829158031,-0.0453466642666647,0.0397414567802703,low - lower,very low - upper,low - lower,
1-4,1.0,2013,0.0,23.246441309099662,97.73357815573378,142.8306040525824,"LINESTRING (240608.08343186945 4277443.022508146, 240572.7620475572 4277536.574248869)",100,100m,1,2013,L7,0.1228892485223449,0.055747500108752,-0.1447540205598744,0.0502560154563897,-0.0465651468738124,0.0285636751358006,low - lower,very low - upper,low - lower,
1-4,1.0,2014,0.0,23.246441309099662,97.73357815573378,142.8306040525824,"LINESTRING (240608.08343186945 4277443.022508146, 240572.7620475572 4277536.574248869)",100,100m,1,2014,L8,0.2738962377771562,0.1641994673378517,-0.3329853251774989,0.1421923150160006,-0.0671662919817978,0.0835797037314782,low - upper,very low - upper,low - lower,
1-4,1.0,2015,0.0,23.246441309099662,97.73357815573378,128.2210366266578,"LINESTRING (240608.08343186945 4277443.022508146, 240572.7620475572 4277536.574248869)",100,100m,1,2015,L8,0.2926333687570454,0.1665869131298544,-0.3426170438373229,0.1381607655891601,-0.0851431544704184,0.0981898291237939,low - upper,very low - upper,low - lower,
1-4,1.0,2016,0.0,23.246441309099662,96.61725461542471,97.73357815573378,"LINESTRING (240608.08343186945 4277443.022508146, 240572.7620475572 4277536.574248869)",100,100m,1,2016,L8,0.3127936921153253,0.1653581306629825,-0.3632603971980186,0.1407600175140116,-0.0804485849081725,0.0843791053168745,low - upper,very low - upper,low - lower,
1-4,1.0,2017,0.0,23.246441309099662,96.61725461542471,97.73357815573378,"LINESTRING (240608.08343186945 4277443.022508146, 240572.7620475572 4277536.574248869)",100,100m,1,2017,L8,0.2765439971860273,0.0743864968431107,-0.3184414620089932,0.0652432229581114,-0.0965143196595384,0.0364044693781973,low - upper,very low - upper,low - lower,
1-4,1.0,2018,0.0,23.246441309099662,96.61725461542471,97.73357815573378,"LINESTRING (240608.08343186945 4277443.022508146, 240572.7620475572 4277536.574248869)",100,100m,1,2018,L8,0.2830742204871505,0.1667188427616115,-0.3381203530149731,0.1453169297870932,-0.0710009959963211,0.0948141769130395,low - upper,very low - upper,low - lower,
1-4,1.0,2019,0.0,23.246441309099662,96.61725461542471,97.73357815573378,"LINESTRING (240608.08343186945 4277443.022508146, 240572.7620475572 4277536.574248869)",100,100m,1,2019,L8,0.2990719389194477,0.1575849102875193,-0.352479277732052,0.1332707246098913,-0.0865871830446843,0.087925640413416,low - upper,very low - upper,low - lower,
1-4,1.0,2020,0.0,23.246441309099662,96.61725461542471,97.73357815573378,"LINESTRING (240608.08343186945 4277443.022508146, 240572.7620475572 4277536.574248869)",100,100m,1,2020,L8,0.2813421238950583,0.1841818793589281,-0.3404579789654172,0.1569404550623191,-0.0788480505318595,0.1067250907196346,low - upper,very low - upper,low - lower,
1-4,1.0,2021,0.0,23.246441309099662,96.61725461542471,97.73357815573378,"LINESTRING (240608.08343186945 4277443.022508146, 240572.7620475572 4277536.574248869)",100,100m,1,2021,L8,0.2939000754832722,0.1850053439982346,-0.3487075446225912,0.1600947544547654,-0.0818300526745875,0.1052568904036404,low - upper,very low - upper,low - lower,
